INDEX_ID,POS,NAME
3,0,database_name
3,1,table_name
4,0,database_name
4,1,table_name
4,2,index_name
4,3,stat_name
103,0,Host
103,1,Db
103,2,User
104,0,User
105,0,Host
105,1,User
106,0,HOST
106,1,USER
106,2,DEFAULT_ROLE_HOST
106,3,DEFAULT_ROLE_USER
107,0,FROM_HOST
107,1,FROM_USER
107,2,TO_HOST
107,3,TO_USER
108,0,USER
108,1,HOST
108,2,PRIV
109,0,Host
109,1,User
109,2,Password_timestamp
110,0,name
111,0,name
146,0,name
145,0,help_topic_id
148,0,name
147,0,help_category_id
151,1,help_topic_id
151,0,help_keyword_id
117,0,Server_name
119,0,Grantor
118,0,Host
118,1,Db
118,2,User
118,3,Table_name
120,0,Host
120,1,Db
120,2,User
120,3,Table_name
120,4,Column_name
150,0,name
149,0,help_keyword_id
123,0,Name
124,0,Time_zone_id
125,0,Time_zone_id
125,1,Transition_time
126,0,Time_zone_id
126,1,Transition_type_id
127,0,Transition_time
129,0,Grantor
128,0,Host
128,1,Db
128,2,User
128,3,Routine_name
128,4,Routine_type
130,0,component_id
131,0,Channel_name
132,0,Channel_name
133,1,Id
133,0,Channel_name
134,0,source_uuid
134,1,interval_start
136,0,Channel_name
136,1,Managed_name
135,0,Channel_name
135,1,Host
135,2,Port
135,3,Network_namespace
135,4,Managed_name
137,0,Channel_name
137,1,Managed_name
139,0,event
138,0,name
138,1,event
140,0,name
141,0,cost_name
142,1,engine_name
142,2,device_type
142,0,cost_name
144,0,Grantor
143,0,Host
143,1,User
143,2,Proxied_host
143,3,Proxied_user
152,0,variable
191,0,email
190,0,id
188,0,id
189,0,id

